"","id","bf1","bf2","bf3","bf4","bf5","bf6","bf7","bf8","bf9","bf10","age","nation","school","gender"
"172",173,5,5,4,5,5,3,3,5,5,5,24,"1",3,"männlich"
"173",174,3,4,4,4,3,4,4,5,4,5,35,"6",4,"weiblich"
"174",175,5,4,3,5,4,5,3,2,4,5,24,"1",3,"männlich"
"175",176,4,4,3,5,3,5,3,5,3,4,23,"1",3,"männlich"
"176",177,4,5,3,5,3,5,3,4,3,5,22,"1",3,"männlich"
"177",178,2,4,5,3,4,2,5,4,4,3,23,"1",3,"männlich"
"178",179,5,5,4,4,5,5,3,5,5,4,22,"1",3,"weiblich"
"179",180,4,3,3,4,4,4,2,3,4,4,20,"1",3,"männlich"
"180",181,3,3,5,4,5,3,5,4,5,5,28,"1",3,"männlich"
"181",182,4,3,4,3,2,3,4,3,2,4,36,"1",3,"männlich"
"182",183,5,5,5,4,3,5,4,5,3,4,22,"1",3,"männlich"
"183",184,3,4,2,5,5,4,2,5,4,5,25,"1",3,"männlich"
"184",185,5,4,4,4,4,5,4,3,4,4,25,"18",3,"männlich"
"185",186,3,3,3,5,4,3,3,2,4,5,23,"1",3,"weiblich"
"186",188,4,5,3,3,4,5,3,4,4,4,22,"1",3,"männlich"
"187",189,4,3,5,4,4,4,4,5,5,5,20,"15",3,"weiblich"
"188",190,4,5,3,5,4,5,2,5,5,5,25,"1",3,"männlich"
"189",191,4,4,4,3,4,4,4,5,4,2,19,"1",3,"männlich"
"190",192,2,4,3,4,3,3,3,4,3,4,20,"1",3,"männlich"
"191",193,4,4,3,4,4,4,3,4,4,3,33,"1",3,"männlich"
"192",194,2,4,5,3,3,3,4,5,3,3,25,"19",3,"männlich"
"193",195,4,5,4,4,5,4,4,4,5,4,20,"1",3,"männlich"
"194",196,4,3,2,5,3,4,2,2,4,5,22,"1",3,"männlich"
"195",197,5,4,3,5,3,3,2,2,3,5,25,"1",3,"männlich"
"196",198,5,4,4,3,4,5,4,4,4,3,22,"1",3,"männlich"
"197",199,3,4,3,4,3,2,3,4,4,3,23,"1",3,"männlich"
"198",200,4,5,5,4,3,4,5,3,3,5,20,"1",3,"männlich"
"199",201,3,2,2,5,5,4,1,3,5,5,20,"1",3,"weiblich"
"200",202,5,3,3,4,3,4,4,5,4,3,27,"1",3,"männlich"
"201",203,5,4,5,5,5,5,5,4,5,5,30,"1",3,"männlich"
"202",204,2,3,3,5,5,2,3,5,4,4,19,"1",3,"männlich"
"203",205,4,5,3,4,4,5,3,3,4,2,24,"1",3,"männlich"
"204",206,5,5,5,2,5,5,5,5,5,5,26,"1",3,"männlich"
"205",208,5,4,3,5,3,5,3,5,3,4,21,"1",3,"männlich"
"206",209,5,5,5,5,3,4,5,4,4,2,24,"1",3,"männlich"
"207",210,5,4,3,2,4,5,3,4,4,1,23,"1",3,"weiblich"
"208",211,4,5,2,3,4,5,1,4,4,4,25,"1",3,"weiblich"
"209",212,3,4,5,4,4,4,5,4,4,5,23,"1",3,"weiblich"
